('352', 187.30627224359637)
('393', 186.54010529289332)
('342', 185.0085885834531)
('209', 181.82917010116432)
('279', 179.3278251861738)
('275', 176.8195534381823)
('155', 175.23991598010556)
('111', 175.11773375276053)
('215', 174.4148890883681)
('87', 173.19033179343123)
('178', 172.13886201609432)
('99', 171.46710486176704)
('196', 166.34925740385924)
('273', 166.26727090520606)
('284', 166.15002316488759)
('56', 163.12361923219174)
('153', 161.9833461695204)
('174', 161.5805601226227)
('245', 157.99427432168892)
('304', 157.11501513635102)
('100', 157.00455383976276)
('318', 156.87646158146336)
('119', 150.74865129733553)
('103', 150.59274568841815)
('295', 149.4645807067006)
('164', 149.1522714690953)
('86', 148.08047474721747)
('160', 147.00264939405685)
('237', 145.7340134806641)
('167', 144.20284435119444)
('244', 143.10230331581948)
('299', 142.75028202184825)
('251', 142.5178765983589)
('176', 142.36230051825657)
('213', 142.06489350503512)
('84', 141.82305037439295)
('276', 141.3490957521579)
('248', 140.40191325078857)
('313', 138.25142287018522)
('172', 137.70985183500784)
('348', 136.6042687084882)
('281', 135.65606327690082)
('328', 134.3716388922581)
('217', 128.71896023397227)
('242', 127.76649711417579)
('208', 127.7332149799229)
('292', 126.97805463062325)
('233', 125.27266538554187)
('336', 125.23002075015124)
('303', 125.07693997821553)
('202', 125.04302548028251)
('201', 124.7119083733227)
('231', 123.55927533844246)
('266', 123.5096066547711)
('291', 122.64707792853439)
('329', 122.20257974840679)
('288', 122.17561540475724)
('493', 121.76008177485402)
('272', 119.9615628453844)
('450', 119.68973777150552)
('171', 118.76953629792942)
('255', 118.24621510226406)
('346', 116.90387891079472)
('270', 116.68213110439808)
('247', 116.60507958100328)
('232', 115.03843209990268)
('246', 114.27050684360225)
('419', 112.16441450115849)
('206', 111.42753362139489)
('141', 110.1725353086412)
('252', 110.05667141316579)
('181', 109.82554317729725)
('363', 109.34217891719831)
('469', 108.25375190395732)
('180', 108.19628068779248)
('324', 106.79899033423003)
('263', 105.64998219487273)
('214', 105.1371081810629)
('280', 105.05757806639538)
('401', 104.8222920280131)
('285', 103.37344155307599)
('219', 102.1171992181847)
('370', 101.76949232542283)
('191', 101.6124768365103)
('257', 101.13718495985188)
('420', 100.8564549571307)
('240', 100.35066175568562)
('200', 100.26517016905622)
('129', 100.20842993219136)
('118', 99.74068682754427)
('361', 99.55824789721603)
('268', 98.969012517579)
('331', 98.072485509191)
('302', 97.34947493509131)
('384', 97.33404150929493)
('239', 95.7719533383042)
('314', 95.26103035049096)
('236', 95.20735904214843)
('286', 94.88464145998739)
('228', 94.81776038045811)
('309', 93.98497619150942)
('360', 93.48573906945849)
('282', 93.11496880963429)
('124', 92.40836322165649)
('358', 92.39849858133182)
('368', 92.35553175966366)
